id,count,sequence_id,date,start_date,end_date
1,0,20231011041x,2023-10-11,04:17:08,04:17:10
2,1,20231011041x,2023-10-11,04:17:11,04:17:11
3,1,20231011041x,2023-10-11,04:17:12,04:17:12
4,2,20231011041x,2023-10-11,04:17:13,04:17:13
5,0,20231011041x,2023-10-11,04:17:14,04:17:14
6,1,20231011041x,2023-10-11,04:17:15,04:17:15
7,1,20231011041x,2023-10-11,04:17:16,04:17:16
8,2,20231011041x,2023-10-11,04:17:17,04:17:17
9,2,20231011041x,2023-10-11,04:17:18,04:17:18
10,1,20231011041x,2023-10-11,04:17:19,04:17:19
11,1,20231011041x,2023-10-11,04:17:20,04:17:20
12,2,20231011041x,2023-10-11,04:17:21,04:17:21
13,1,20231011041x,2023-10-11,04:17:22,04:17:22
14,1,20231011041x,2023-10-11,04:17:23,04:17:23
15,1,20231011041x,2023-10-11,04:17:24,04:17:24
16,1,20231011041x,2023-10-11,04:17:25,04:17:25
17,1,20231011041x,2023-10-11,04:17:26,04:17:26
18,1,20231011041x,2023-10-11,04:17:27,04:17:27
19,1,20231011041x,2023-10-11,04:17:28,04:17:28
20,1,20231011041x,2023-10-11,04:17:29,04:17:29
21,0,20231011041x,2023-10-11,04:17:30,04:17:30
22,3,20231011041x,2023-10-11,04:17:31,04:17:31
23,1,20231011041x,2023-10-11,04:17:32,04:17:32
24,1,20231011041x,2023-10-11,04:17:33,04:17:33
25,2,20231011041x,2023-10-11,04:17:34,04:17:34
26,1,20231011041x,2023-10-11,04:17:35,04:17:35
27,0,20231011041x,2023-10-11,04:17:36,04:17:36
28,1,20231011041x,2023-10-11,04:17:37,04:17:37
29,3,20231011041x,2023-10-11,04:17:38,04:17:38
30,0,20231011041x,2023-10-11,04:17:39,04:17:39
31,1,20231011041x,2023-10-11,04:17:40,04:17:40
32,1,20231011041x,2023-10-11,04:17:41,04:17:41
33,1,20231011041x,2023-10-11,04:17:42,04:17:42
34,0,20231011041x,2023-10-11,04:17:43,04:17:43
35,1,20231011041x,2023-10-11,04:17:44,04:17:44
36,1,20231011041x,2023-10-11,04:17:45,04:17:45
37,0,20231011041x,2023-10-11,04:17:46,04:17:46
38,1,20231011041x,2023-10-11,04:17:47,04:17:47
39,0,20231011041x,2023-10-11,04:17:48,04:17:48
40,2,20231011041x,2023-10-11,04:17:49,04:17:49
41,1,20231011041x,2023-10-11,04:17:50,04:17:50
42,2,20231011041x,2023-10-11,04:17:51,04:17:51
43,2,20231011041x,2023-10-11,04:17:52,04:17:52
44,0,20231011041x,2023-10-11,04:17:53,04:17:53
45,3,20231011041x,2023-10-11,04:17:54,04:17:54
46,1,20231011041x,2023-10-11,04:17:55,04:17:55
