EAR_ID,EAR_HISTORY,STATE
1696253972.9229627,0.276610909590689#0.300458580001274#0.302505865063027#0.279449788172768#0.284019196009883#0.328389378864078#0.302015426988757#0.15583955729267#0.108369938019964#0.142552187495642#0.275086790098634#0.304838044708459,abnormal
1696253973.9159591,0.297727507262591#0.307215960381989#0.283668762853282#0.316960212471346#0.309972421249725#0.309891984886458#0.298728507926881#0.310198195424471#0.302212132669876#0.309233708968832#0.120289842806626#0.140647387066324#0.291561726376448,abnormal
1696253975.7209558,0.280151025264262#0.296516086506801#0.286165619617825#0.307864651498009#0.278116919544332#0.29117471502686#0.292086525882763#0.300617827715167#0.289887431335991#0.279977437470053#0.298313174775526#0.28435745617752#0.291536838451277#0.29651958910786#0.294325608962881#0.287223885913722#0.29538796302688#0.283080744385941#0.262692978677326#0.259835164397101#0.289060170656717#0.268380794248538#0.110740725020752#0.242579000999223#0.280877183603177,abnormal
1696253977.1802163,0.2713673405043#0.259958861902735#0.281361161009706#0.269997859189631#0.279065933627871#0.26860302020211#0.289373825060287#0.305902919627033#0.291179296771409#0.298259555632339#0.298138861336962#0.326089697871079#0.321030023714182#0.304712076742036#0.324003064359148#0.069449492707848#0.083978679282434#0.243673011934232#0.261641359052462#0.285548571122979,normal
1696253978.8922167,0.30753876329887#0.280693089257113#0.29740451113015#0.304661419189278#0.289700809006089#0.290939173092948#0.280940804657811#0.302414207960952#0.295369142840234#0.264685597075529#0.283720510985982#0.297721979423041#0.282316852715653#0.271679420085606#0.279985641131841#0.306016000205997#0.0905795065701782#0.139928931925024#0.208914933416328#0.212243574416744#0.274441801803696#0.265178101151581#0.298327365861995,abnormal
1696253980.5489175,0.315560802660875#0.278722602259709#0.285451572670648#0.200433302895434#0.243618568040525#0.256812813933556#0.281118814943715#0.298865555009298#0.289263818468476#0.305240710644548#0.283359118747962#0.310569439447536#0.28518085164057#0.305072836904264#0.302943954777155#0.126364858588856#0.107331158513049#0.233083832290306#0.248335330804715#0.183585754484789#0.260501510867788#0.27857721634542,abnormal
1696253983.0459266,0.282202875595664#0.289186310069626#0.274034359667999#0.304141423326674#0.294819341582739#0.312839879596508#0.290056530247711#0.305058285120915#0.317727779421651#0.308553419502854#0.233417136143887#0.228062471240014#0.28334604338564#0.306238619323777#0.247776952910711#0.257593878771212#0.29733155460444#0.286236574756227#0.24868903157708#0.268958319958922#0.256854038729861#0.263899535444654#0.0951456228197586#0.0814036576893936#0.0782341918949171#0.139204883387692#0.224271116255171#0.168377120209113#0.256454409066761#0.254288677057933#0.288801385685462,normal
1696253984.5481968,0.212546827804277#0.232388292244971#0.235005466455559#0.274286812795132#0.249735626048412#0.26629462764372#0.283093203114924#0.270862501683503#0.300111362290666#0.310986108217963#0.223861990981538#0.250182919413665#0.240373730212396#0.211643113685564#0.0971601539196518#0.092119098173197#0.122582414497135#0.15972787294119#0.263053188343607#0.277291940247127,abnormal
1696253986.4242191,0.297398155759242#0.277743986334808#0.317239145041731#0.316683816011898#0.326929635381968#0.293261349669671#0.311204042184033#0.292216909984652#0.298530283848094#0.272374856329417#0.258851403124754#0.252555948711087#0.229999264473464#0.275880228117934#0.286263827588152#0.209735287215326#0.148198273018123#0.220160243620012#0.200145256251644#0.166607355364148#0.235734657000285#0.218815478121808#0.214324556269362#0.294001634396978,abnormal
1696253988.3154101,0.292298445583767#0.296423665229034#0.262064861714107#0.283254239693479#0.28259388121553#0.288184521798398#0.276620431406779#0.293716646904072#0.267732642858677#0.282435182634859#0.243361595822564#0.250929682701804#0.268851769310221#0.105930633903482#0.12265054054788#0.109993653759924#0.0668470987465977#0.11338925269724#0.100977578853288#0.0895316398743895#0.148157451432359#0.173290479703518#0.284013103532894,normal
1696253990.2654116,0.274319087861887#0.30016173692219#0.309902537420296#0.301846121795145#0.277805894199425#0.290251854559433#0.298147249040031#0.276212365352799#0.270838035846173#0.244806238575591#0.257470153903179#0.107179694259936#0.138777252659698#0.19072548173529#0.246634705447037#0.250569880820073#0.273022601562227#0.236904136566117#0.250472214460467#0.227822714455911#0.110586175867441#0.188118810082552#0.18885357878912#0.251270449534765#0.256205217541812#0.293177779448314,abnormal
1696253992.8071983,0.234605889043626#0.247492520520962#0.243326430782005#0.249560865226942#0.242791184399733#0.282829234235199#0.248577723410897#0.279058087797717#0.286805143612119#0.286805143612119#0.248135769604638#0.272231173745414#0.236186025406945#0.217858756132553#0.209913281010872#0.0826758220362993#0.0827605888602368#0.0717943783788246#0.0799053795605772#0.0917389344611165#0.183278555961924#0.243276688975308#0.236796220096711#0.243215593085745#0.252555948711087#0.20320988638756#0.249886082736193#0.271111527004492#0.26127269371289#0.26834860619364#0.243948796522005#0.266569270299149#0.255679765135396#0.291088924970794,normal
1696253997.6852138,0.302955970955953#0.249396697317178#0.252842509104404#0.249768920182568#0.262328563288858#0.251678408323457#0.266687356962403#0.249888120524667#0.249296896347217#0.274858052937438#0.254390763106624#0.240917033836414#0.204314524553587#0.212725877305798#0.214292633340575#0.142755030286508#0.0838099469142847#0.12048314928776#0.130981150750547#0.1274289779373#0.0801103419913809#0.0893040725646855#0.0825486918211377#0.0713899023995641#0.0874024004194257#0.147279117665076#0.228002823807787#0.238098164451581#0.255084247922777#0.245317734277205#0.27537822877889#0.240118726173092#0.251614554178649#0.238490749505593#0.236308777292439#0.217972312478811#0.257008021672211#0.268875106154904#0.253583904015589#0.240824665175305#0.23030893778325#0.242386559991199#0.247154703731498#0.254781414956742#0.232418539356913#0.272743793760729#0.264912563230184#0.0809029177117784#0.126221782081263#0.12272939358103#0.272833874636388#0.228489793395862#0.237119573880818#0.211807049486609#0.240133733187282#0.266993877147379#0.237086192941184#0.254252134162243#0.274825517963825#0.259235946170745#0.27191309234391#0.262386750254273#0.270977127140308#0.241135103877394#0.286138258321147,normal
1696254000.6872036,0.297830931248561#0.273728372514514#0.294172338018388#0.30116712731452#0.289764679993486#0.295553759961986#0.286318838380429#0.280149712280317#0.30787552950345#0.271028217046002#0.245752281272582#0.256780066590072#0.265453150317173#0.27661557391733#0.262924842547634#0.272553943298375#0.310033628818297#0.31911255076762#0.324795058076076#0.305256071645021#0.255769077974146#0.264391635007576#0.236821722625056#0.0905150178106561#0.15824584780426#0.212797021599409#0.192897547112158#0.184283507728247#0.217771452155822#0.0938509850293368#0.122378562608622#0.0868620106115435#0.105765138634832#0.177535075316561#0.263692227339798#0.268922028466305#0.271563639188547#0.260523705591826#0.254253483576678#0.255970126752324#0.284313466540411,abnormal
1696254001.3482025,0.249312068990752#0.246478625334835#0.273064413480572#0.103008395819039#0.102237481318235#0.213496496814907#0.224423564566318#0.221857912797799#0.284535066940217,abnormal
1696254004.574214,0.268672132004004#0.273806652733206#0.265188919411325#0.239148814732023#0.255793663502671#0.276440878519857#0.259328221790043#0.243837746008268#0.276698353417194#0.271566538645519#0.287350789102455#0.271277611753966#0.249779204843427#0.257285905449803#0.313665047424085#0.291879436464666#0.290363595764783#0.304441894882847#0.153182433303457#0.115357052452429#0.141218027706006#0.247271569649151#0.244861956338206#0.246771641296779#0.266196708655285#0.272168350491599#0.255056710072812#0.269837297935951#0.258035221870091#0.248170484423434#0.254869743275966#0.0965105170686185#0.0828817710614364#0.109441602765058#0.074972474517702#0.126782286365509#0.195937098298012#0.262761401599596#0.214426348917183#0.254685055798921#0.290462614624796,normal
1696254006.2412033,0.273073669421242#0.276107529646343#0.297314971301314#0.294995651094412#0.271245390098446#0.283308925124524#0.272422172433127#0.254443098934907#0.26956255943522#0.271334871735033#0.268224396425093#0.292422858442849#0.263336389675448#0.177051252162372#0.0736029247499739#0.0792944776084454#0.0901173123129763#0.0953206157968146#0.105765138634832#0.122829107427914#0.0835808302263368#0.0904614065639239#0.292397783730375,normal
1696254008.2232022,0.283348057130788#0.266296801597666#0.283582081686607#0.287221549607575#0.286357213103073#0.272272154489151#0.284526324839696#0.288497002374192#0.287122145415962#0.285740484531467#0.294688162758711#0.286923607419979#0.300186509815723#0.286153251199816#0.277300037636073#0.296144419280201#0.269969929650973#0.274236560246813#0.284362121308626#0.271430343664781#0.117748389380769#0.132310289523451#0.244181355566888#0.22395981190704#0.267558275616481#0.274078057591342#0.28407772083047,abnormal
1696254010.06922,0.275053450357339#0.271102597048254#0.287262946644092#0.272889602811548#0.29583992403656#0.0900055802221012#0.0796853184829718#0.112897452051291#0.0863993195703363#0.0889260765054117#0.102652304020129#0.0987051617030071#0.189434585895586#0.177483488478582#0.184126909583126#0.218668282742791#0.251875971564852#0.262404476191089#0.262800481059543#0.251279096311965#0.102099245103697#0.0961460806077313#0.199560487714148#0.278500258145088,normal
1696254011.5252128,0.27394796395168#0.249824482645781#0.272264975615467#0.262370805704666#0.278321752412227#0.24997329533383#0.0899756880475458#0.0842833725074251#0.0765044068272746#0.099000518451426#0.0936983914555831#0.0967279121999865#0.0815499694765841#0.117812809256472#0.144651974250857#0.245546867809693#0.273508985954753#0.294301875253991,normal
