id,count,sequence_id,date,start_date,end_date
1,8,20230922173x,2023-09-22,17:33:20,17:34:21
2,29,20230922173x,2023-09-22,17:34:22,17:35:21
3,24,20230922173x,2023-09-22,17:35:22,17:36:22
4,16,20230922173x,2023-09-22,17:36:23,17:37:23
5,20,20230922173x,2023-09-22,17:37:24,17:38:23
6,10,20230922173x,2023-09-22,17:38:24,17:39:24
7,25,20230922174x,2023-09-22,17:39:25,17:40:24
8,13,20230922174x,2023-09-22,17:40:25,17:41:24
9,11,20230922174x,2023-09-22,17:41:25,17:42:25
10,12,20230922174x,2023-09-22,17:42:26,17:43:25
11,18,20230922174x,2023-09-22,17:43:26,17:44:26
12,23,20230922174x,2023-09-22,17:44:27,17:45:26
13,69,20230922174x,2023-09-22,17:45:27,17:46:26
14,27,20230922174x,2023-09-22,17:46:27,17:47:27
15,14,20230922174x,2023-09-22,17:47:28,17:48:27
16,12,20230922174x,2023-09-22,17:48:28,17:49:27
17,10,20230922175x,2023-09-22,17:49:28,17:50:28
18,18,20230922175x,2023-09-22,17:50:29,17:51:28
19,10,20230922175x,2023-09-22,17:51:29,17:52:29
20,7,20230922175x,2023-09-22,17:52:30,17:53:29
21,13,20230922175x,2023-09-22,17:53:30,17:54:30
22,11,20230922175x,2023-09-22,17:54:31,17:55:30
23,10,20230922175x,2023-09-22,17:55:31,17:56:30
24,21,20230922175x,2023-09-22,17:56:31,17:57:31
25,45,20230922175x,2023-09-22,17:57:32,17:58:31
26,7,20230922175x,2023-09-22,17:58:32,17:59:32
27,6,20230922180x,2023-09-22,17:59:33,18:00:32
28,7,20230922180x,2023-09-22,18:00:33,18:01:32
29,10,20230922180x,2023-09-22,18:01:33,18:02:33
30,7,20230922180x,2023-09-22,18:02:34,18:03:33
31,12,20230922180x,2023-09-22,18:03:34,18:04:34
32,8,20230922180x,2023-09-22,18:04:35,18:05:34
33,20,20230922180x,2023-09-22,18:05:35,18:06:34
34,16,20230922180x,2023-09-22,18:06:35,18:07:35
35,13,20230922180x,2023-09-22,18:07:36,18:08:35
36,54,20230922180x,2023-09-22,18:08:36,18:09:36
37,87,20230922181x,2023-09-22,18:09:37,18:10:37
38,101,20230922181x,2023-09-22,18:10:38,18:11:37
39,80,20230922181x,2023-09-22,18:11:38,18:12:38
40,26,20230922181x,2023-09-22,18:12:39,18:13:38
41,21,20230922181x,2023-09-22,18:13:39,18:14:38
42,19,20230922181x,2023-09-22,18:14:39,18:15:39
43,29,20230922181x,2023-09-22,18:15:40,18:16:39
44,60,20230922181x,2023-09-22,18:16:40,18:17:39
45,41,20230922181x,2023-09-22,18:17:40,18:18:40
46,77,20230922181x,2023-09-22,18:18:41,18:19:40
47,70,20230922182x,2023-09-22,18:19:41,18:20:40
48,36,20230922182x,2023-09-22,18:20:41,18:21:41
49,29,20230922182x,2023-09-22,18:21:42,18:22:41
50,16,20230922182x,2023-09-22,18:22:42,18:23:41
51,13,20230922182x,2023-09-22,18:23:42,18:24:42
52,14,20230922182x,2023-09-22,18:24:43,18:25:42
53,8,20230922182x,2023-09-22,18:25:43,18:26:43
54,20,20230922182x,2023-09-22,18:26:44,18:27:43
55,10,20230922182x,2023-09-22,18:27:44,18:28:43
56,13,20230922182x,2023-09-22,18:28:44,18:29:44
57,13,20230922183x,2023-09-22,18:29:45,18:30:44
58,24,20230922183x,2023-09-22,18:30:45,18:31:45
59,8,20230922183x,2023-09-22,18:31:46,18:32:45
60,8,20230922183x,2023-09-22,18:32:46,18:33:45
61,17,20230922183x,2023-09-22,18:33:46,18:34:46
62,19,20230922183x,2023-09-22,18:34:47,18:35:46
63,36,20230922183x,2023-09-22,18:35:47,18:36:46
64,22,20230922183x,2023-09-22,18:36:47,18:37:47
65,40,20230922183x,2023-09-22,18:37:48,18:38:47
66,53,20230922184x,2023-09-22,18:38:48,18:40:07
67,26,20230922184x,2023-09-22,18:40:08,18:41:07
68,15,20230922184x,2023-09-22,18:41:08,18:42:07
69,25,20230922184x,2023-09-22,18:42:08,18:43:08
70,19,20230922184x,2023-09-22,18:43:09,18:44:08
71,35,20230922184x,2023-09-22,18:44:09,18:45:08
72,16,20230922184x,2023-09-22,18:45:09,18:46:09
73,23,20230922184x,2023-09-22,18:46:10,18:47:09
74,29,20230922184x,2023-09-22,18:47:10,18:48:10
75,21,20230922184x,2023-09-22,18:48:11,18:49:10
76,25,20230922185x,2023-09-22,18:49:11,18:50:10
77,23,20230922185x,2023-09-22,18:50:11,18:51:10
78,16,20230922185x,2023-09-22,18:51:11,18:52:11
79,17,20230922185x,2023-09-22,18:52:12,18:53:11
80,19,20230922185x,2023-09-22,18:53:12,18:54:12
81,26,20230922185x,2023-09-22,18:54:13,18:55:12
82,10,20230922185x,2023-09-22,18:55:13,18:56:12
83,21,20230922185x,2023-09-22,18:56:13,18:57:13
84,10,20230922185x,2023-09-22,18:57:14,18:58:13
85,43,20230922185x,2023-09-22,18:58:14,18:59:13
86,10,20230922190x,2023-09-22,18:59:14,19:00:14
